What is your Vassal handle?,What is your Discord name (User#0000)?,Paste your new YASB Squad link here:,
Rc4b2 ,ryan talonbane#1066,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z249X256WY128X53WWWWY128XW92WWWY131XWWW8WW&sn=Ryan%20Becker%20JTO&obs=coreasteroid0,coreasteroid1,yt2400debris0",
Ryan Kriesch,Kckid#2385,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z174X115WWWY198X240WWY186X60W28W108Y220XW&sn=Ryan%20Kriesch%20JTO&obs=core2asteroid3,core2asteroid4,core2asteroid5",
balindamood,3251,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z150X132W111WW165WY248XW249Y116XW134WWWWWW159WY247X256W166&sn=Brian%20Lindamood%20JTO&obs=,
ctsjohnz,ctsjohnz#,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z316X119WWY320X116WWY320XWWY360XWWWWWWY361XWWWWWY276XWW200W&sn=John%20Gardner%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
cmveas,cmveas,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z82XWW12WWWWWY143XWWWW106Y132XWW135Y101X121W&sn=Claudio%20Veas%20JTO&obs=,
Totem,Totem#6562,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z272X203W12WWWWW109WWY334XWW234WWWWW216WY336XWWWWWWW&sn=The%20Maul%2C%20the%20Tyrant%2C%20and%20the%20UPS%20guy&obs=,
wilhelmfors,wilhelmfors (#8270),https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z384X119WWWY287X126WWWY383XWWWY266XWW&sn=JTO%20Wilhelm%20Fors&obs=,
Tommaso Loss,ciurlo,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z362X122W138WWWW70WY364XW138WWWWWY321XWY320XWWY321XWY323XWW&sn=Random%20Squad&obs=,
RebelScum,Darryl_M#0441,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z38XWW46WWW140Y391XWWWW234WWY75XWWWWWWY75XWWWWWW&sn=Darryl%20McMillon%20-%20JTO&obs=,
TNX_Old_Jester,TNX_Old_Jester#5897,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z119X133WW94WW166WY156XWWWY125X251WWWWW160Y249XW&sn=Dimitris%20Stavropoulos%20JTO&obs=,
Aaron Thatcher,A Coke Product#7685,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z59XWWWY52XWWY29XW138WW0WWW90Y53XWY65XWWWW&sn=Aaron%20Thatcher%20JTO&obs=,
Wally_Shanks,Wally Shanks#2937,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z130X121W134WWWW108Y248XWY116XWW11WW83WWWY111XWWWWY157X125WWW&sn=Stanky%20Shanks%20%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
BittyBumbo,BittyBumbo#5694,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z133XWW99Y145X127WW20W80W317WWWY144XW137WW86W71W70W110W149WW8Y158XWWW&sn=Mark%20Grawburg%20JTO&obs=,
Slenkhar,Slenkhar#1858,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z158XWW91WY131XW136W101W4W94W166Y97X121WY156XWWW&sn=David%20Secretain%20JTO&obs=,
trej,trej#6820,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z286X178W234WY267XWWY385XWWW182WWY288XWWWWWWW&sn=Pawel%20Morawski%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
Chris Allen,Brunas#9999,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z386XWW98Y289XWW32W180WW12W111WY259XWWWW109&sn=Chris%20Allen%20JTO&obs=,
Jeff W,Jeff Wilder #9855,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z265XW236Y268X177WY251X202WWWWWW111W249Y283XWWW311&sn=Jeff%20Wilder%20JTO&obs=,
PsychJ7,PsychJ7,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z259XW101WWW236Y269XWY285XWWWW240WY386X206WWY285XWWWWW&sn=Plush%20Rush&obs=coreasteroid5,yt2400debris0,core2asteroid5",
canyonero,canyonero#0701,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z73XWWWW135WWY392XWWWW51WWWWY36XWW314W54WW140&sn=Adam%20SItnick%20JTO&obs=coreasteroid0,core2asteroid0,core2asteroid4",
Shadow Marvel,Shadow Marvel#7617,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z51X119W115WY13X126W106Y72XW35WWW167Y43XW101WW52WWWW&sn=Matthew%20Kreiner%20JTO&obs=coreasteroid3,coreasteroid4,coreasteroid5",
Michau,Michau1977#4245,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z349XW178W245W249Y351XWW232WWWW5WY388XWWY378XW98WWWWWY347XWWWWWW&sn=Micha%C5%82%20Lewandowski%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
Malloc,Malloc,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z362X125WWWWWWY314X250WWW166Y276XW2WWY333X123WWW&sn=Michael%20Buccheri%20JTO&obs=gascloud1,gascloud2,gascloud3",
Sara Tessem,Esteebestee#2322,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z306X125W223WW229Y272XWWWWWWW216WY309XW208WY354X248W&sn=This%20is%20garbage%20and%20I%20am%20garbage&obs=,
zbbSkeletor,Skeletor420#2378,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z67X72W35WWWY20XWW97W88W54W317WWY69X256W40WW0WY53XW&sn=zbbSkeletor%20JTO&obs=core2asteroid1,core2asteroid3,core2asteroid5",
Basscor,Basscor#0012,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z332X119W113WW234Y323XWW234Y330XW213W234Y333XWWW&sn=Alan%20Beard%20JTO&obs=,
Luke Paulson,5728,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z167XWWWWWY162XW240WW99WWY173XW112WWY206XWWWWWW&sn=Random%20Squad&obs=,
JDLNZ,Jdlnz#5464,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z309X100W208WY305X126WWW229Y328XW223WWY337XWWY343XW208WY309XWW&sn=Dave%20Laffan%20JTO&obs=,
pmeier,6903,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z32X130W113W59WW236W140Y48X133W317W54WWWY16X108Y73XWWWWWW&sn=Patrick%20Meier%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
Almost Brave,AlmostBrave#3338,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z23XWW234W7WY25X132W138W135W4WWWY50X256WWY16X&sn=Shawn%20Ramberg%20JTO&obs=,
