name,wins,byes,rank,faction,points,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,handicap,avginitiative,url
Matt Coggins,0,0,512,resistance,193,23,7,6,10,0,0,3,7,4.666666666666667,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z240X125WW102W206Y389XW111WW54W86W76W69WW165Y378XWWWWWW315&sn=Matt%20Coggins%20JTO&obs=gascloud1,gascloud3,gascloud5"
Zachery Johnson,0,0,512,galacticempire,197,26,10,8,7,0,0,4,3,1.75,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z186X33W49WY178XW102W108Y176X240WW105Y186X37WW&sn=Zach%20Johnson%20JTO&obs=coreasteroid3,core2asteroid3,core2asteroid5"
MarkGrawburg,0,0,512,scumandvillainy,200,28,10,7,12,0,0,4,0,3.75,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z133XWW99Y145X127WW20W80W317WWWY144XW137WW86W71W70W110W149WW8Y158XWWW&sn=Mark%20Grawburg%20JTO&obs=
William ‘Dankoo” Herbert,0,0,512,galacticrepublic,196,18,8,10,9,0,0,4,4,3.75,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z321XWY322X132WW214W134Y313X72W241W200WY278X72W6WW105&sn=Bill%20Herbert%20JTO&obs=
Michael Thiel,0,0,512,firstorder,187,19,9,7,10,1,1,3,14,3.6666666666666665,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z381X126WW102W236Y289X206WW194W183WW232W240WY261X202W247&sn=Michael%20Thiel%20JTO&obs=gascloud3,gascloud4,gascloud5"
Ken Cho,0,0,512,firstorder,194,20,10,12,3,0,0,4,6,3.25,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z235XWWY284XW178W135WY283XWWWY262XW186W&sn=Random%20Squad&obs=
Carl Tinsley,0,0,512,firstorder,200,19,10,12,6,0,0,4,0,3.5,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z233X115WW164Y261XWY384X132W206W101WY283XWW234W&sn=Carl%20Tinsley%20JTO&obs=core2asteroid5,gascloud4,gascloud6"
Tyler Evans,0,0,512,rebelalliance,198,24,9,5,10,1,2,3,4,3.6666666666666665,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z44X124WW88W41WWWW154Y66X116WWW137W167Y6XWW2W165W142&sn=Tyler%20E%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Josh Addington,0,0,512,scumandvillainy,199,26,12,11,4,0,0,5,1,2.4,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z142XW16WWWY100XW134Y159X100WWY247XWY146X138WWWWWW&sn=Josh%20Addington%20JTO&obs=
Jarrad Healy,0,0,512,scumandvillainy,199,24,7,6,10,0,0,3,1,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z117XW136W12W36W80WWWY105X115W232W99W47WWWW153WY141X206WWWW&sn=Jarrad%20Healy%20JTO&obs=
Connor Carpenter,0,0,512,firstorder,200,16,8,9,9,1,1,3,1,3.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z233X256W202W108Y286X206W134W102Y386X186W136W99&sn=HeretikalOrca%20JTO&obs=
Phil Kirby,0,0,512,galacticempire,196,22,9,9,5,0,0,4,4,4.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z185X50WW164Y394XWW311Y217XWY205XW135WWWW69WW&sn=Phil%20Kirby%20JTO&obs=
Nick Smith ,0,0,512,firstorder,199,18,10,11,7,1,3,4,4,3.75,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z384X126WW98WY262XWW106Y397XWWW182WW249Y384XW186W102W&sn=Nick%20Smith%20JTO&obs=
Christopher Peters -CrazyVulcan,0,0,512,resistance,198,29,9,6,9,0,0,4,2,2.5,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z351X122WW11W234W244WW196W106Y380XWWWWWY352XWWW192W191WWY254XWW175WWW&sn=Christopher%20Peters%20JTO&obs=
Michael Frochaux,0,0,512,rebelalliance,196,28,10,9,5,1,1,4,5,2.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z33XWW61WWW140Y16X236Y45XWW46WWWWY51XWW102&sn=Michael%20Frochaux%20JTO&obs=
Kenneth Scher,0,0,512,separatistalliance,199,22,12,11,9,2,2,5,3,3.2,"https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z307XW108W229Y326X234WW316WW237Y358X131WY311X98WW236Y343X101WW&sn=Kenneth%20Scher%20JTO&obs=coreasteroid3,core2asteroid4,gascloud2"
Ben McCarty,0,0,512,resistance,198,27,11,12,7,0,0,5,2,2.4,
Brett Bird,0,0,512,galacticempire,198,30,10,7,5,0,0,4,2,2.75,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z227X119WY201XWWWY216XW30W50WW86WWWY206XWW98WWWW&sn=Brett%20Bird%20JTO&obs=
Chris Borzumato,0,0,512,scumandvillainy,199,24,9,9,8,0,0,4,1,4.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z125XW47W92W95WW160Y140XWW30WW94WY133XW165W99Y398XWWW&sn=Quad%20Scum%20JTO&obs=
