listid,faction,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,avginitiative,yasb
AlejandroSparano#2,resistance,36,9,3,6,1,2,3,3.3333333333333335,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z389X124WWWW88WWWWY260X113W198WWWWW67WY250X240WWWWWWW&sn=Random%20Squad&obs=
Almost Brave#1,rebelalliance,21,9,10,7,0,0,4,3.75,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z23X132WW234W7WY25X132WW135W4WWWY50XW256WY16X&sn=Random%20Squad&obs=
Almost Brave#2,scumandvillainy,29,10,9,6,3,9,5,3.6,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z95X116W20W108Y85XWWW76WWWW164Y135XWWY93XWW249Y86XWWWWWWW&sn=Random%20Squad&obs=
ampersand#1,rebelalliance,23,9,4,8,1,14,3,3.3333333333333335,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z65X115W54WW138WY64XWWW59W32W109W84W148Y70XWWWW&sn=Random%20Squad&obs=
ampersand#2,galacticrepublic,27,10,7,4,1,8,4,3.75,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z338X116WWW76WW166Y341XWWWWY322XWW2WY313XWWW&sn=Random%20Squad&obs=
AndreasT#1,galacticrepublic,26,9,7,3,0,0,4,3.75,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z363XW134WWWWY338XW136W53WWWY273XWWWY319XW&sn=Random%20Squad&obs=
AndreasT#2,rebelalliance,23,7,5,8,0,0,3,3.3333333333333335,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z17XW99WW76W314WW316W110Y24XW135WWY26XWWW7WWW87&sn=Random%20Squad&obs=
Andrew#1,scumandvillainy,25,11,10,10,0,0,5,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z134X133WWY131X123WW98W2WW110Y95X123W62W249Y156X132WW95WY94XWW&sn=Random%20Squad&obs=
Andrew#2,galacticempire,20,8,5,11,1,1,3,3.6666666666666665,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z185X24W33W249Y180X122W236WY191X113W134W102W98WW70W69W&sn=Random%20Squad&obs=
Android#1,firstorder,22,11,14,4,0,0,5,3.8,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z382X118W186WW106Y261XWY268XWY243X116WWWWWY262XWW&sn=Random%20Squad&obs=
Android#2,rebelalliance,24,10,6,1,0,0,3,3.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z59XWW23WY41XWWWWWY21XWWWW&sn=Random%20Squad&obs=
andy steel#1,resistance,29,9,6,5,0,0,4,3.5,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z246XW102WWW174WWWY349XW178WWY352XWW234WWWWY377X132WWWWWW&sn=Random%20Squad&obs=
andy steel#2,rebelalliance,19,8,6,11,1,3,3,3.3333333333333335,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z21X117W114W134WW247Y80X124W234W44WW2WY71XW32WW4W167&sn=Random%20Squad&obs=
AngryRasin#1,galacticrepublic,24,9,7,7,0,0,4,3.0,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323X113W214W135Y332XWWW136Y317X256WWY339XW54WWW106&sn=Random%20Squad&obs=
AngryRasin#2,separatistalliance,25,8,4,9,1,7,3,2.6666666666666665,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z272X204WWW37W217W71WWWY324XW102W70WWY336XWWW219WWW216W223&sn=Random%20Squad&obs=
Antigrapist#1,separatistalliance,26,12,10,9,0,0,5,2.2,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z324XW99W70W165W237Y306X117W222WW229Y327XWWWW237Y344X123WWWY279XWW&sn=Random%20Squad&obs=
Antigrapist#2,scumandvillainy,25,9,8,10,0,0,4,2.5,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z128X62W96W93WW160Y86X133W138W134WWW317W95W105Y247XWY159XWW&sn=Random%20Squad&obs=
arctic_rogue#1,scumandvillainy,27,9,6,5,0,0,3,3.3333333333333335,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z130X120W134W102WWWY81XW114WWWWWWY127XWWW92WW&sn=Random%20Squad&obs=
arctic_rogue#2,rebelalliance,25,10,8,7,2,2,4,3.25,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z14X73WY46XWW30W109WW156Y38XW114WWW108W140Y79XWWWWW&sn=Random%20Squad&obs=
Armytuba#1,separatistalliance,27,11,9,10,2,1,5,2.2,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z328XWWW237Y329XWW102W236W237Y343X98W208W165Y335XWWWW59W316WWW220Y279XWW&sn=Random%20Squad&obs=
Armytuba#2,resistance,26,10,7,9,0,0,4,4.0,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z351X115WWWWW54WW109Y298X118WWW175WW171W232Y256XW195WW175WWWY345XWWW&sn=Random%20Squad&obs=
Ashok#1,firstorder,19,9,11,4,0,0,4,5.25,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z381XWWWY266XW206WY233XWW164Y385X119W206WWWW&sn=Random%20Squad&obs=
Ashok#2,scumandvillainy,31,10,7,4,0,0,4,2.75,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z85XW138WWWWWWY304XY146X138WWWW316WWY127XW54WWWW&sn=Random%20Squad&obs=
assimilation#1,resistance,25,11,11,10,3,6,5,2.6,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z348X178WW108Y349X120W177W243W106Y379X98WW95WWW315Y299XWWW175WWWY300XWWW&sn=Random%20Squad&obs=
assimilation#2,scumandvillainy,30,10,7,3,0,0,4,2.75,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z150XWWWWY87X123WW234WWWWWY92XW43WWWWWY119XWWWWW&sn=Random%20Squad&obs=
assistantBKR#1,scumandvillainy,32,8,3,10,1,6,3,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z109XWW66WW166WY91XW22W53WW92WW152Y152X115W232WWW39WWW103W&sn=Random%20Squad&obs=
assistantBKR#2,rebelalliance,23,8,5,8,1,1,3,2.6666666666666665,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z47X256W68WW107W236W156Y62X203WW136W137WWWWWY53XW&sn=Random%20Squad&obs=
Azaghal#1,scumandvillainy,23,10,9,4,0,0,4,2.5,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z98XW135Y106XWWWWW93WWY143XWW70WWY159XW94W&sn=Random%20Squad&obs=
Azaghal#2,firstorder,14,8,8,11,0,0,3,4.333333333333333,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z382X117W318W311WY383X117W177W98W166Y242X132WW100W86WW108&sn=Random%20Squad&obs=
BaldWookie#1,firstorder,28,10,8,6,0,0,4,2.75,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z269X177WY289XWW183WWW13W113WY397XWWW182WWY259XWWW111W&sn=Random%20Squad&obs=
BaldWookie#2,resistance,26,7,4,10,2,10,3,4.333333333333333,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z245X126WW53W173WWWWY347XW13WWW244W196W165Y378XW101WWW105WW315&sn=Random%20Squad&obs=
balindamood#1,scumandvillainy,21,9,11,8,0,0,4,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z150X132W111W234W165WY248XW249Y116XW134WWWWWW159WY247XW166&sn=Random%20Squad&obs=
